,Date,Ticker,Operation,Open price,Z-Score,Commissions,Shares,Close price,P/L
36,2018-04-23,NASDAQ:LSCC,Buy,5.21,-2.288,13.535,2707,0.0,0.0
37,2018-04-23,NASDAQ:MEDP,Sell,37.09,-2.288,1.895,379,0.0,0.0
38,2018-04-27,NASDAQ:LSCC,Close,5.21,0.225,13.535,2707,5.59,1055.73
39,2018-04-27,NASDAQ:MEDP,Close,37.09,0.225,1.895,379,37.34,-90.96
40,2018-05-08,NASDAQ:LSCC,Buy,5.45,-2.184,13.795,2759,0.0,0.0
41,2018-05-08,NASDAQ:MEDP,Sell,40.05,-2.184,1.875,375,0.0,0.0
42,2018-05-29,NASDAQ:LSCC,Timeout,5.45,-0.65,13.795,2759,5.59,413.85
43,2018-05-29,NASDAQ:MEDP,Timeout,40.05,-0.65,1.875,375,42.48,-907.5
44,2018-06-12,NASDAQ:LSCC,Sell,6.23,3.522,11.645,2329,0.0,0.0
45,2018-06-12,NASDAQ:MEDP,Buy,42.0,3.522,1.725,345,0.0,0.0
46,2018-07-03,NASDAQ:LSCC,Timeout,6.23,0.113,11.645,2329,6.35,-302.77
47,2018-07-03,NASDAQ:MEDP,Timeout,42.0,0.113,1.725,345,43.92,665.85
48,2018-07-20,NASDAQ:LSCC,Buy,6.7,-2.032,11.075,2215,0.0,0.0
49,2018-07-20,NASDAQ:MEDP,Sell,47.97,-2.032,1.545,309,0.0,0.0
50,2018-07-26,NASDAQ:LSCC,Close,6.7,0.096,11.075,2215,7.09,886.0
51,2018-07-26,NASDAQ:MEDP,Close,47.97,0.096,1.545,309,48.76,-241.02
52,2018-07-27,NASDAQ:LSCC,Sell,7.67,4.358,10.08,2016,0.0,0.0
53,2018-07-27,NASDAQ:MEDP,Buy,47.73,4.358,1.615,323,0.0,0.0
54,2018-07-31,NASDAQ:LSCC,Close,7.67,-3.234,10.08,2016,7.7,-60.48
55,2018-07-31,NASDAQ:MEDP,Close,47.73,-3.234,1.615,323,61.36,4405.72
